ent	loc	string	filenum	id	ent_name	start	end
T0	ENT 11 20	Elizabeth	38	0	Elizabeth	11	20
T1	ENT 47 51	Jane	38	2	Jane	47	51
T2	ENT 169 172	her	38	0	Elizabeth	169	172
T3	ENT 169 179	her sister	38	2	Jane	169	179
T4	ENT 210 213	her	38	2	Jane	210	213
T5	ENT 232 235	she	38	0	Elizabeth	232	235
T6	ENT 247 250	her	38	2	Jane	247	250
T7	ENT 299 308	Mr. Darcy	38	1	Darcy	299	308
T8	ENT 313 320	herself	38	0	Elizabeth	313	320
T9	ENT 323 334	Miss Bennet	38	2	Jane	323	334
T10	ENT 432 441	Elizabeth	38	0	Elizabeth	432	441
T11	ENT 523 526	She	38	2	Jane	523	526
T12	ENT 542 551	Mr. Darcy	38	1	Darcy	542	551
T13	ENT 574 577	his	38	1	Darcy	574	577
T14	ENT 657 660	she	38	2	Jane	657	660
T15	ENT 695 698	her	38	2	Jane	695	698
T16	ENT 695 705	her sister	38	0	Elizabeth	695	705
T17	ENT 733 736	him	38	1	Darcy	733	736
T18	ENT 742 745	His	38	1	Darcy	742	745
T19	ENT 794 797	she	38	2	Jane	794	797
T20	ENT 885 888	his	38	1	Darcy	885	888
T21	ENT 932 941	Elizabeth	38	0	Elizabeth	932	941
T22	ENT 971 974	him	38	1	Darcy	971	974
T23	ENT 981 983	he	38	1	Darcy	981	983
T24	ENT 1041 1044	his	38	1	Darcy	1041	1044
T25	ENT 1106 1109	him	38	1	Darcy	1106	1109
T26	ENT 1194 1201	Wickham	38	7	Wickham	1194	1201
T27	ENT 1361 1364	She	38	0	Elizabeth	1361	1364
T28	ENT 1453 1467	George Wickham	38	7	Wickham	1453	1467
T29	ENT 1497 1506	poor Jane	38	2	Jane	1497	1506
T30	ENT 1547 1556	the world	38	7	Wickham	1547	1556
T31	ENT 1610 1635	the whole race of mankind	38	-1	NONE	1610	1635
T32	ENT 1663 1677	one individual	38	7	Wickham	1663	1677
T33	ENT 1688 1693	Darcy	38	1	Darcy	1688	1693
T34	ENT 1730 1733	her	38	2	Jane	1730	1733
T35	ENT 1766 1769	her	38	2	Jane	1766	1769
T36	ENT 1810 1813	she	38	2	Jane	1810	1813
T37	ENT 1943 1952	Elizabeth	38	0	Elizabeth	1943	1952
T38	ENT 1997 2001	them	38	31	collective	1997	2001
T39	ENT 2156 2176	one good sort of man	38	31	collective	2156	2176
T40	ENT 2278 2283	Darcy	38	1	Darcy	2278	2283
T41	ENT 2392 2396	Jane	38	2	Jane	2392	2396
T42	ENT 2456 2459	she	38	2	Jane	2456	2459
T43	ENT 2465 2472	Wickham	38	7	Wickham	2465	2472
T44	ENT 2518 2532	poor Mr. Darcy	38	1	Darcy	2518	2532
T45	ENT 2535 2545	Dear Lizzy	38	0	Elizabeth	2535	2545
T46	ENT 2567 2569	he	38	1	Darcy	2567	2569
T47	ENT 2703 2706	his	38	1	Darcy	2703	2706
T48	ENT 2703 2713	his sister	38	16	Georgiana	2703	2713
T49	ENT 2889 2892	him	38	1	Darcy	2889	2892
T50	ENT 3036 3039	him	38	1	Darcy	3036	3039
T51	ENT 3101 3113	Poor Wickham	38	7	Wickham	3101	3113
T52	ENT 3159 3162	his	38	7	Wickham	3159	3162
T53	ENT 3212 3215	his	38	7	Wickham	3212	3215
T54	ENT 3296 3315	those two young men	38	31	collective	3296	3315
T55	ENT 3412 3421	Mr. Darcy	38	1	Darcy	3412	3421
T56	ENT 3563 3566	him	38	1	Darcy	3563	3566
T57	ENT 3786 3791	a man	38	1	Darcy	3786	3791
T58	ENT 3850 3855	Lizzy	38	0	Elizabeth	3850	3855
T59	ENT 4036 4042	no one	38	-1	NONE	4036	4042
T60	ENT 4078 4082	Jane	38	2	Jane	4078	4082
T61	ENT 4297 4304	Wickham	38	7	Wickham	4297	4304
T62	ENT 4308 4317	Mr. Darcy	38	1	Darcy	4308	4317
T63	ENT 4653 4660	Wickham	38	7	Wickham	4653	4660
T64	ENT 4679 4690	Miss Bennet	38	2	Jane	4679	4690
T65	ENT 4776 4779	him	38	7	Wickham	4776	4779
T66	ENT 4861 4870	Mr. Darcy	38	1	Darcy	4861	4870
T67	ENT 4901 4904	his	38	1	Darcy	4901	4904
T68	ENT 4946 4971	every particular relative	38	-1	NONE	4946	4971
T69	ENT 4975 4978	his	38	1	Darcy	4975	4978
T70	ENT 4975 4985	his sister	38	16	Georgiana	4975	4985
T71	ENT 5071 5077	people	38	27	OTHER	5071	5077
T72	ENT 5096 5099	his	38	1	Darcy	5096	5099
T73	ENT 5162 5171	Mr. Darcy	38	1	Darcy	5162	5171
T74	ENT 5223 5238	the good people	38	27	OTHER	5223	5238
T75	ENT 5242 5249	Meryton	38	-1	NONE	5242	5249
T76	ENT 5270 5273	him	38	1	Darcy	5270	5273
T77	ENT 5319 5326	Wickham	38	7	Wickham	5319	5326
T78	ENT 5391 5395	here	38	-1	NONE	5391	5395
T79	ENT 5401 5403	he	38	7	Wickham	5401	5403
T80	ENT 5604 5607	his	38	7	Wickham	5604	5607
T81	ENT 5638 5641	him	38	7	Wickham	5638	5641
T82	ENT 5653 5655	He	38	7	Wickham	5653	5655
T83	ENT 5690 5692	he	38	7	Wickham	5690	5692
T84	ENT 5746 5748	We	38	31	collective	5746	5748
T85	ENT 5763 5766	him	38	7	Wickham	5763	5766
T86	ENT 5796 5805	Elizabeth	38	0	Elizabeth	5796	5805
T87	ENT 5849 5852	She	38	0	Elizabeth	5849	5852
T88	ENT 5908 5911	her	38	0	Elizabeth	5908	5911
T89	ENT 5949 5967	a willing listener	38	2	Jane	5949	5967
T90	ENT 5971 5975	Jane	38	2	Jane	5971	5975
T91	ENT 5987 5990	she	38	0	Elizabeth	5987	5990
T92	ENT 6118 6121	She	38	0	Elizabeth	6118	6121
T93	ENT 6157 6166	Mr. Darcy	38	1	Darcy	6157	6166
T94	ENT 6194 6197	her	38	0	Elizabeth	6194	6197
T95	ENT 6194 6204	her sister	38	2	Jane	6194	6204
T96	ENT 6219 6222	she	38	2	Jane	6219	6222
T97	ENT 6242 6245	her	38	2	Jane	6242	6245
T98	ENT 6242 6252	her friend	38	6	Bingley	6242	6252
T99	ENT 6283 6289	no one	38	-1	NONE	6283	6289
T100	ENT 6310 6313	she	38	0	Elizabeth	6310	6313
T101	ENT 6382 6393	the parties	38	31	collective	6382	6393
T102	ENT 6408 6411	her	38	0	Elizabeth	6408	6411
T103	ENT 6485 6488	she	38	0	Elizabeth	6485	6488
T104	ENT 6585 6592	Bingley	38	6	Bingley	6585	6592
T105	ENT 6634 6641	himself	38	6	Bingley	6634	6641
T106	ENT 6725 6728	She	38	0	Elizabeth	6725	6728
T107	ENT 6759 6763	home	38	-1	NONE	6759	6763
T108	ENT 6806 6809	her	38	0	Elizabeth	6806	6809
T109	ENT 6806 6816	her sister	38	2	Jane	6806	6816
T110	ENT 6830 6834	Jane	38	2	Jane	6830	6834
T111	ENT 6851 6854	She	38	2	Jane	6851	6854
T112	ENT 6899 6906	Bingley	38	6	Bingley	6899	6906
T113	ENT 6935 6942	herself	38	2	Jane	6935	6942
T114	ENT 6960 6963	her	38	2	Jane	6960	6963
T115	ENT 7023 7026	her	38	2	Jane	7023	7026
T116	ENT 7131 7134	she	38	2	Jane	7131	7134
T117	ENT 7141 7144	his	38	6	Bingley	7141	7144
T118	ENT 7170 7173	him	38	6	Bingley	7170	7173
T119	ENT 7177 7192	every other man	38	6	Bingley	7177	7192
T120	ENT 7204 7207	her	38	2	Jane	7204	7207
T121	ENT 7229 7232	her	38	2	Jane	7229	7232
T122	ENT 7262 7265	her	38	2	Jane	7262	7265
T123	ENT 7262 7273	her friends	38	31	collective	7262	7273
T124	ENT 7366 7369	her	38	2	Jane	7366	7369
T125	ENT 7416 7421	Lizzy	38	0	Elizabeth	7416	7421
T126	ENT 7432 7443	Mrs. Bennet	38	3	Mrs. Bennet	7432	7443
T127	ENT 7510 7514	Jane	38	2	Jane	7510	7514
T128	ENT 7580 7587	anybody	38	27	OTHER	7580	7587
T129	ENT 7597 7606	my sister	38	27	OTHER	7597	7606
T130	ENT 7607 7615	Phillips	38	27	OTHER	7607	7615
T131	ENT 7663 7667	Jane	38	2	Jane	7663	7667
T132	ENT 7684 7687	him	38	6	Bingley	7684	7687
T133	ENT 7691 7697	London	38	-1	NONE	7691	7697
T134	ENT 7707 7709	he	38	6	Bingley	7707	7709
T135	ENT 7713 7741	a very undeserving young man	38	6	Bingley	7713	7741
T136	ENT 7795 7804	the world	38	-1	NONE	7795	7804
T137	ENT 7808 7811	her	38	2	Jane	7808	7811
T138	ENT 7825 7828	him	38	6	Bingley	7825	7828
T139	ENT 7855 7858	his	38	6	Bingley	7855	7858
T140	ENT 7869 7880	Netherfield	38	-1	NONE	7869	7880
T141	ENT 7926 7935	everybody	38	27	OTHER	7926	7935
T142	ENT 7991 7993	he	38	6	Bingley	7991	7993
T143	ENT 8012 8023	Netherfield	38	-1	NONE	8012	8023
T144	ENT 8065 8067	he	38	6	Bingley	8065	8067
T145	ENT 8078 8084	Nobody	38	27	OTHER	8078	8084
T146	ENT 8091 8094	him	38	6	Bingley	8091	8094
T147	ENT 8131 8133	he	38	6	Bingley	8131	8133
T148	ENT 8139 8150	my daughter	38	2	Jane	8139	8150
T149	ENT 8180 8183	her	38	2	Jane	8180	8183
T150	ENT 8253 8257	Jane	38	2	Jane	8253	8257
T151	ENT 8296 8298	he	38	6	Bingley	8296	8298
T152	ENT 8322 8324	he	38	6	Bingley	8322	8324
T153	ENT 8346 8355	Elizabeth	38	0	Elizabeth	8346	8355
T154	ENT 8410 8413	she	38	0	Elizabeth	8410	8413
T155	ENT 8441 8446	Lizzy	38	0	Elizabeth	8441	8446
T156	ENT 8462 8465	her	38	3	Mrs. Bennet	8462	8465
T157	ENT 8462 8472	her mother	38	3	Mrs. Bennet	8462	8472
T158	ENT 8503 8516	the Collinses	38	38	Collinses	8503	8516
T159	ENT 8630 8639	Charlotte	38	9	Charlotte	8630	8639
T160	ENT 8643 8663	an excellent manager	38	9	Charlotte	8643	8663
T161	ENT 8682 8685	she	38	9	Charlotte	8682	8685
