ent	loc	string	filenum	id	ent_name	start	end
T0	ENT 11 20	Elizabeth	16	0	Elizabeth	11	20
T1	ENT 32 36	Jane	16	2	Jane	32	36
T2	ENT 74 85	Mr. Wickham	16	7	Wickham	74	85
T3	ENT 90 97	herself	16	0	Elizabeth	90	97
T4	ENT 100 104	Jane	16	2	Jane	100	104
T5	ENT 146 149	she	16	2	Jane	146	149
T6	ENT 179 188	Mr. Darcy	16	1	Darcy	179	188
T7	ENT 213 224	Mr. Bingley	16	6	Bingley	213	224
T8	ENT 261 264	her	16	2	Jane	261	264
T9	ENT 300 349	a young man of such amiable appearance as Wickham	16	7	Wickham	300	349
T10	ENT 371 374	his	16	7	Wickham	371	374
T11	ENT 435 438	her	16	2	Jane	435	438
T12	ENT 522 526	them	16	31	collective	522	526
T13	ENT 688 691	she	16	2	Jane	688	691
T14	ENT 780 797	Interested people	16	-1	NONE	780	797
T15	ENT 834 843	the other	16	-1	NONE	834	843
T16	ENT 950 954	them	16	31	collective	950	954
T17	ENT 1040 1044	Jane	16	2	Jane	1040	1044
T18	ENT 1085 1155	the interested people who have probably been concerned in the business	16	-1	NONE	1085	1155
T19	ENT 1169 1173	them	16	31	collective	1169	1173
T20	ENT 1221 1229	somebody	16	-1	NONE	1221	1229
T21	ENT 1314 1324	My dearest	16	0	Elizabeth	1314	1324
T22	ENT 1325 1330	Lizzy	16	0	Elizabeth	1325	1330
T23	ENT 1387 1396	Mr. Darcy	16	1	Darcy	1387	1396
T24	ENT 1414 1417	his	16	1	Darcy	1414	1417
T25	ENT 1414 1424	his father	16	27	OTHER	1414	1424
T26	ENT 1466 1469	his	16	1	Darcy	1466	1469
T27	ENT 1457 1504	one whom his father had promised to provide for	16	7	Wickham	1457	1504
T28	ENT 1466 1504	his father had promised to provide for	16	27	OTHER	1466	1504
T29	ENT 1526 1551	No man of common humanity	16	1	Darcy	1526	1551
T30	ENT 1554 1560	no man	16	1	Darcy	1554	1560
T31	ENT 1583 1586	his	16	1	Darcy	1583	1586
T32	ENT 1628 1631	his	16	1	Darcy	1628	1631
T33	ENT 1628 1653	his most intimate friends	16	-1	NONE	1628	1653
T34	ENT 1684 1687	him	16	1	Darcy	1684	1687
T35	ENT 1737 1748	Mr. Bingley	16	6	Bingley	1737	1748
T36	ENT 1781 1792	Mr. Wickham	16	7	Wickham	1781	1792
T37	ENT 1825 1832	himself	16	7	Wickham	1825	1832
T38	ENT 1836 1838	he	16	7	Wickham	1836	1838
T39	ENT 1938 1947	Mr. Darcy	16	1	Darcy	1938	1947
T40	ENT 1993 1996	his	16	1	Darcy	1993	1996
T41	ENT 2158 2162	Jane	16	2	Jane	2158	2162
T42	ENT 2216 2227	Mr. Bingley	16	6	Bingley	2216	2227
T43	ENT 2233 2235	he	16	6	Bingley	2233	2235
T44	ENT 2320 2340	The two young ladies	16	29	JaneElizabeth	2320	2340
T45	ENT 2360 2373	the shrubbery	16	-1	NONE	2360	2373
T46	ENT 2427 2474	the very persons of whom they had been speaking	16	6	Bingley	2427	2474
T47	ENT 2477 2488	Mr. Bingley	16	6	Bingley	2477	2488
T48	ENT 2493 2496	his	16	6	Bingley	2493	2496
T49	ENT 2493 2504	his sisters	16	28	BingSisters	2493	2504
T50	ENT 2574 2585	Netherfield	16	-1	NONE	2574	2585
T51	ENT 2632 2646	The two ladies	16	28	BingSisters	2632	2646
T52	ENT 2669 2686	their dear friend	16	2	Jane	2669	2686
T53	ENT 2759 2762	she	16	2	Jane	2759	2762
T54	ENT 2783 2790	herself	16	2	Jane	2783	2790
T55	ENT 2819 2841	the rest of the family	16	24	Bennets	2819	2841
T56	ENT 2831 2841	the family	16	24	Bennets	2831	2841
T57	ENT 2880 2891	Mrs. Bennet	16	3	Mrs. Bennet	2880	2891
T58	ENT 2933 2942	Elizabeth	16	0	Elizabeth	2933	2942
T59	ENT 2967 2977	the others	16	24	Bennets	2967	2977
T60	ENT 3060 3073	their brother	16	6	Bingley	3060	3073
T61	ENT 3132 3143	Mrs. Bennet	16	3	Mrs. Bennet	3132	3143
T62	ENT 3224 3250	every female of the family	16	24	Bennets	3224	3250
T63	ENT 3240 3250	the family	16	24	Bennets	3240	3250
T64	ENT 3253 3264	Mrs. Bennet	16	3	Mrs. Bennet	3253	3264
T65	ENT 3312 3315	her	16	3	Mrs. Bennet	3312	3315
T66	ENT 3312 3331	her eldest daughter	16	2	Jane	3312	3331
T67	ENT 3398 3409	Mr. Bingley	16	6	Bingley	3398	3409
T68	ENT 3410 3417	himself	16	6	Bingley	3410	3417
T69	ENT 3452 3456	Jane	16	2	Jane	3452	3456
T70	ENT 3469 3476	herself	16	2	Jane	3469	3476
T71	ENT 3511 3514	her	16	2	Jane	3511	3514
T72	ENT 3511 3526	her two friends	16	28	BingSisters	3511	3526
T73	ENT 3551 3564	their brother	16	6	Bingley	3551	3564
T74	ENT 3571 3580	Elizabeth	16	0	Elizabeth	3571	3580
T75	ENT 3632 3643	Mr. Wickham	16	7	Wickham	3632	3643
T76	ENT 3692 3701	Mr. Darcy	16	1	Darcy	3692	3701
T77	ENT 3755 3764	Catherine	16	18	Kitty	3755	3764
T78	ENT 3769 3774	Lydia	16	5	Lydia	3769	3774
T79	ENT 3814 3835	any particular person	16	5	Lydia	3814	3835
T80	ENT 3866 3875	Elizabeth	16	0	Elizabeth	3866	3875
T81	ENT 3915 3926	Mr. Wickham	16	7	Wickham	3915	3926
T82	ENT 3929 3931	he	16	7	Wickham	3929	3931
T83	ENT 3983 3987	them	16	30	KittyLydia	3983	3987
T84	ENT 4039 4043	Mary	16	19	Mary	4039	4043
T85	ENT 4057 4060	her	16	19	Mary	4057	4060
T86	ENT 4057 4067	her family	16	24	Bennets	4057	4067
T87	ENT 4073 4076	she	16	19	Mary	4073	4076
T88	ENT 4160 4163	she	16	19	Mary	4160	4163
T89	ENT 4317 4373	those who consider intervals of recreation and amusement	16	19	Mary	4317	4373
T90	ENT 4391 4400	everybody	16	-1	NONE	4391	4400
T91	ENT 4406 4415	Elizabeth	16	0	Elizabeth	4406	4415
T92	ENT 4471 4474	she	16	0	Elizabeth	4471	4474
T93	ENT 4512 4523	Mr. Collins	16	20	Mr. Collins	4512	4523
T94	ENT 4526 4529	she	16	0	Elizabeth	4526	4529
T95	ENT 4552 4555	him	16	20	Mr. Collins	4552	4555
T96	ENT 4564 4566	he	16	20	Mr. Collins	4564	4566
T97	ENT 4586 4597	Mr. Bingley	16	6	Bingley	4586	4597
T98	ENT 4621 4623	he	16	20	Mr. Collins	4621	4623
T99	ENT 4638 4640	he	16	20	Mr. Collins	4638	4640
T100	ENT 4705 4708	she	16	0	Elizabeth	4705	4708
T101	ENT 4743 4745	he	16	20	Mr. Collins	4743	4745
T102	ENT 4845 4859	the Archbishop	16	27	OTHER	4845	4859
T103	ENT 4865 4889	Lady Catherine de Bourgh	16	17	Lady Catherine	4865	4889
T104	ENT 4976 4978	he	16	20	Mr. Collins	4976	4978
T105	ENT 5020 5044	a young man of character	16	6	Bingley	5020	5044
T106	ENT 5050 5068	respectable people	16	-1	NONE	5050	5068
T107	ENT 5206 5221	my fair cousins	16	24	Bennets	5206	5221
T108	ENT 5295 5300	yours	16	0	Elizabeth	5295	5300
T109	ENT 5303 5317	Miss Elizabeth	16	0	Elizabeth	5303	5317
T110	ENT 5385 5394	my cousin	16	2	Jane	5385	5394
T111	ENT 5395 5399	Jane	16	2	Jane	5395	5399
T112	ENT 5466 5469	her	16	2	Jane	5466	5469
T113	ENT 5475 5484	Elizabeth	16	0	Elizabeth	5475	5484
T114	ENT 5490 5497	herself	16	0	Elizabeth	5490	5497
T115	ENT 5520 5523	She	16	0	Elizabeth	5520	5523
T116	ENT 5560 5571	Mr. Wickham	16	7	Wickham	5560	5571
T117	ENT 5608 5619	Mr. Collins	16	20	Mr. Collins	5608	5619
T118	ENT 5630 5633	her	16	0	Elizabeth	5630	5633
T119	ENT 5711 5722	Mr. Wickham	16	7	Wickham	5711	5722
T120	ENT 5740 5743	her	16	0	Elizabeth	5740	5743
T121	ENT 5792 5803	Mr. Collins	16	20	Mr. Collins	5792	5803
T122	ENT 5849 5852	she	16	0	Elizabeth	5849	5852
T123	ENT 5861 5864	She	16	0	Elizabeth	5861	5864
T124	ENT 5897 5900	his	16	20	Mr. Collins	5897	5900
T125	ENT 5978 5981	her	16	0	Elizabeth	5978	5981
T126	ENT 5991 5994	she	16	0	Elizabeth	5991	5994
T127	ENT 6021 6024	her	16	0	Elizabeth	6021	6024
T128	ENT 6021 6032	her sisters	16	24	Bennets	6021	6032
T129	ENT 6052 6082	mistress of Hunsford Parsonage	16	0	Elizabeth	6052	6082
T130	ENT 6064 6082	Hunsford Parsonage	16	-1	NONE	6064	6082
T131	ENT 6131 6138	Rosings	16	-1	NONE	6131	6138
T132	ENT 6159 6181	more eligible visitors	16	27	OTHER	6159	6181
T133	ENT 6225 6228	she	16	0	Elizabeth	6225	6228
T134	ENT 6238 6241	his	16	20	Mr. Collins	6238	6241
T135	ENT 6271 6278	herself	16	0	Elizabeth	6271	6278
T136	ENT 6291 6294	his	16	20	Mr. Collins	6291	6294
T137	ENT 6331 6334	her	16	0	Elizabeth	6331	6334
T138	ENT 6396 6403	herself	16	0	Elizabeth	6396	6403
T139	ENT 6422 6425	her	16	0	Elizabeth	6422	6425
T140	ENT 6458 6461	her	16	0	Elizabeth	6458	6461
T141	ENT 6458 6468	her mother	16	3	Mrs. Bennet	6458	6468
T142	ENT 6474 6477	her	16	0	Elizabeth	6474	6477
T143	ENT 6560 6563	her	16	3	Mrs. Bennet	6560	6563
T144	ENT 6568 6577	Elizabeth	16	0	Elizabeth	6568	6577
T145	ENT 6703 6714	Mr. Collins	16	20	Mr. Collins	6703	6714
T146	ENT 6753 6755	he	16	20	Mr. Collins	6753	6755
T147	ENT 6794 6797	him	16	20	Mr. Collins	6794	6797
T148	ENT 6824 6835	Netherfield	16	-1	NONE	6824	6835
T149	ENT 6870 6886	the younger Miss	16	30	KittyLydia	6870	6886
T150	ENT 6887 6894	Bennets	16	30	KittyLydia	6887	6894
T151	ENT 7079 7086	Meryton	16	-1	NONE	7079	7086
T152	ENT 7094 7101	No aunt	16	27	OTHER	7094	7101
T153	ENT 7104 7115	no officers	16	27	OTHER	7104	7115
T154	ENT 7175 7186	Netherfield	16	-1	NONE	7175	7186
T155	ENT 7212 7221	Elizabeth	16	0	Elizabeth	7212	7221
T156	ENT 7253 7256	her	16	0	Elizabeth	7253	7256
T157	ENT 7320 7323	her	16	0	Elizabeth	7320	7323
T158	ENT 7342 7353	Mr. Wickham	16	7	Wickham	7342	7353
T159	ENT 7475 7480	Kitty	16	18	Kitty	7475	7480
T160	ENT 7485 7490	Lydia	16	5	Lydia	7485	7490
