ent	loc	string	filenum	id	ent_name	start	end
T0	ENT 11 23	Miss Bingley	23			11	23
T1	ENT 147 153	London	23			147	153
T2	ENT 190 193	her	23			190	193
T3	ENT 190 201	her brother	23			190	201
T4	ENT 242 245	his	23			242	245
T5	ENT 258 261	his	23			258	261
T6	ENT 258 269	his friends	23			258	269
T7	ENT 273 286	Hertfordshire	23			273	286
T8	ENT 294 296	he	23	6.0	Bingley	294	296
T9	ENT 302 313	the country	23			302	313
T10	ENT 357 361	Jane	23			357	361
T11	ENT 403 406	she	23			403	406
T12	ENT 456 466	the writer	23	8.0	Miss Bingley	456	466
T13	ENT 485 488	her	23			485	488
T14	ENT 503 513	Miss Darcy	23			503	513
T15	ENT 551 554	Her	23			551	554
T16	ENT 598 606	Caroline	23			598	606
T17	ENT 739 742	her	23			739	742
T18	ENT 759 762	She	23			759	762
T19	ENT 797 800	her	23	8.0	Miss Bingley	797	800
T20	ENT 797 808	her brother	23			797	808
T21	ENT 831 840	Mr. Darcy	23			831	840
T22	ENT 818 849	an inmate of Mr. Darcy 's house	23	6.0	Bingley	818	849
T23	ENT 831 849	Mr. Darcy 's house	23	-1.0	NONE	831	849
T24	ENT 936 945	Elizabeth	23			936	945
T25	ENT 956 960	Jane	23			956	960
T26	ENT 1041 1044	Her	23			1041	1044
T27	ENT 1083 1086	her	23			1083	1086
T28	ENT 1083 1093	her sister	23			1083	1093
T29	ENT 1119 1129	all others	23			1119	1129
T30	ENT 1135 1143	Caroline	23			1135	1143
T31	ENT 1160 1163	her	23	8.0	Miss Bingley	1160	1163
T32	ENT 1160 1171	her brother	23			1160	1171
T33	ENT 1192 1202	Miss Darcy	23			1192	1202
T34	ENT 1203 1206	she	23	0.0	Elizabeth	1203	1206
T35	ENT 1229 1231	he	23			1229	1231
T36	ENT 1251 1255	Jane	23			1251	1255
T37	ENT 1258 1261	she	23			1258	1261
T38	ENT 1283 1286	she	23			1283	1286
T39	ENT 1315 1318	she	23			1315	1318
T40	ENT 1352 1355	him	23			1352	1355
T41	ENT 1358 1361	she	23			1358	1361
T42	ENT 1497 1500	him	23			1497	1500
T43	ENT 1514 1517	his	23			1514	1517
T44	ENT 1514 1535	his designing friends	23			1514	1535
T45	ENT 1546 1549	him	23			1546	1549
T46	ENT 1566 1569	his	23			1566	1569
T47	ENT 1626 1629	his	23			1626	1629
T48	ENT 1682 1684	he	23			1682	1684
T49	ENT 1745 1747	he	23			1745	1747
T50	ENT 1767 1770	her	23			1767	1770
T51	ENT 1767 1777	her sister	23			1767	1777
T52	ENT 1805 1808	she	23			1805	1808
T53	ENT 1817 1819	he	23			1817	1819
T54	ENT 1837 1844	himself	23	6.0	Bingley	1837	1844
T55	ENT 1947 1950	She	23			1947	1950
T56	ENT 1997 2004	Bingley	23			1997	2004
T57	ENT 2060 2063	his	23			2060	2063
T58	ENT 2060 2071	his friends	23	28.0	BingSisters	2060	2071
T59	ENT 2097 2099	he	23			2097	2099
T60	ENT 2118 2122	Jane	23			2118	2122
T61	ENT 2165 2168	his	23			2165	2168
T62	ENT 2215 2218	her	23			2215	2218
T63	ENT 2230 2233	him	23			2230	2233
T64	ENT 2282 2285	her	23			2282	2285
T65	ENT 2282 2292	her sister	23	2.0	Jane	2282	2292
T66	ENT 2326 2329	her	23			2326	2329
T67	ENT 2381 2385	Jane	23	2.0	Jane	2381	2385
T68	ENT 2410 2413	her	23	2.0	Jane	2410	2413
T69	ENT 2426 2435	Elizabeth	23			2426	2435
