ent	loc	string	filenum	id	ent_name	start	end
T0	ENT 78 87	Elizabeth	27	0	Elizabeth	78	87
T1	ENT 94 97	her	27	0	Elizabeth	94	97
T2	ENT 141 144	she	27	0	Elizabeth	141	144
T3	ENT 154 157	her	27	0	Elizabeth	154	157
T4	ENT 154 164	her sister	27	2	Jane	154	164
T5	ENT 207 210	her	27	2	Jane	207	210
T6	ENT 240 243	her	27	0	Elizabeth	240	243
T7	ENT 308 321	the high road	27	-1	NONE	308	321
T8	ENT 326 334	the lane	27	-1	NONE	326	334
T9	ENT 338 346	Hunsford	27	-1	NONE	338	346
T10	ENT 376 389	the Parsonage	27	-1	NONE	376	389
T11	ENT 428 430	it	27	-1	NONE	428	430
T12	ENT 456 468	Rosings Park	27	-1	NONE	456	468
T13	ENT 502 511	Elizabeth	27	0	Elizabeth	502	511
T14	ENT 551 554	she	27	0	Elizabeth	551	554
T15	ENT 596 609	the Parsonage	27	-1	NONE	596	609
T16	ENT 628 638	The garden	27	-1	NONE	628	638
T17	ENT 650 658	the road	27	-1	NONE	650	658
T18	ENT 661 670	the house	27	-1	NONE	661	670
T19	ENT 683 685	it	27	-1	NONE	683	685
T20	ENT 770 781	Mr. Collins	27	20	Mr. Collins	770	781
T21	ENT 786 795	Charlotte	27	9	Charlotte	786	795
T22	ENT 823 835	the carriage	27	-1	NONE	823	835
T23	ENT 875 894	a short gravel walk	27	-1	NONE	875	894
T24	ENT 898 907	the house	27	-1	NONE	898	907
T25	ENT 940 955	the whole party	27	31	collective	940	955
T26	ENT 991 1001	the chaise	27	-1	NONE	991	1001
T27	ENT 1043 1055	Mrs. Collins	27	9	Charlotte	1043	1055
T28	ENT 1065 1068	her	27	9	Charlotte	1065	1068
T29	ENT 1065 1075	her friend	27	0	Elizabeth	1065	1075
T30	ENT 1110 1119	Elizabeth	27	0	Elizabeth	1110	1119
T31	ENT 1165 1168	she	27	0	Elizabeth	1165	1168
T32	ENT 1175 1182	herself	27	0	Elizabeth	1175	1182
T33	ENT 1212 1215	She	27	0	Elizabeth	1212	1215
T34	ENT 1235 1238	her	27	0	Elizabeth	1235	1238
T35	ENT 1235 1245	her cousin	27	20	Mr. Collins	1235	1245
T36	ENT 1277 1280	his	27	20	Mr. Collins	1277	1280
T37	ENT 1292 1295	his	27	20	Mr. Collins	1292	1295
T38	ENT 1344 1346	he	27	20	Mr. Collins	1344	1346
T39	ENT 1356 1359	her	27	0	Elizabeth	1356	1359
T40	ENT 1405 1408	his	27	20	Mr. Collins	1405	1408
T41	ENT 1429 1432	her	27	0	Elizabeth	1429	1432
T42	ENT 1429 1439	her family	27	24	Bennets	1429	1439
T43	ENT 1484 1487	his	27	20	Mr. Collins	1484	1487
T44	ENT 1543 1552	the house	27	-1	NONE	1543	1552
T45	ENT 1583 1594	the parlour	27	-1	NONE	1583	1594
