ent	loc	string	filenum	id	ent_name	start	end
T0	ENT 52 74	the three young ladies	37	31	collective	52	74
T1	ENT 97 115	Gracechurch Street	37	-1	NONE	97	115
T2	ENT 120 137	the town of -- --	37	-1	NONE	120	137
T3	ENT 143 156	Hertfordshire	37	-1	NONE	143	156
T4	ENT 207 217	Mr. Bennet	37	4	Mr. Bennet	207	217
T5	ENT 183 246	the appointed inn where Mr. Bennet 's carriage was to meet them	37	-1	NONE	183	246
T6	ENT 242 246	them	37	31	collective	242	246
T7	ENT 286 298	the coachman	37	27	OTHER	286	298
T8	ENT 321 326	Kitty	37	18	Kitty	321	326
T9	ENT 331 336	Lydia	37	5	Lydia	331	336
T10	ENT 352 375	a dining-room up stairs	37	-1	NONE	352	375
T11	ENT 378 393	These two girls	37	30	KittyLydia	378	393
T12	ENT 420 429	the place	37	18	Kitty	420	429
T13	ENT 461 481	an opposite milliner	37	27	OTHER	461	481
T14	ENT 493 514	the sentinel on guard	37	27	OTHER	493	514
T15	ENT 569 582	their sisters	37	29	JaneElizabeth	569	582
T16	ENT 652 665	an inn larder	37	-1	NONE	652	665
T17	ENT 801 806	Lydia	37	5	Lydia	801	806
T18	ENT 876 884	the shop	37	5	Lydia	876	884
T19	ENT 915 918	her	37	5	Lydia	915	918
T20	ENT 1099 1103	home	37	-1	NONE	1099	1103
T21	ENT 1159 1162	her	37	5	Lydia	1159	1162
T22	ENT 1159 1170	her sisters	37	29	JaneElizabeth	1159	1170
T23	ENT 1191 1194	she	37	5	Lydia	1191	1194
T24	ENT 1251 1263	two or three	37	-1	NONE	1251	1263
T25	ENT 1279 1287	the shop	37	-1	NONE	1279	1287
T26	ENT 1472 1487	the -- -- shire	37	-1	NONE	1472	1487
T27	ENT 1498 1505	Meryton	37	-1	NONE	1498	1505
T28	ENT 1577 1586	Elizabeth	37	0	Elizabeth	1577	1586
T29	ENT 1660 1668	Brighton	37	-1	NONE	1660	1668
T30	ENT 1688 1692	papa	37	4	Mr. Bennet	1688	1692
T31	ENT 1708 1713	there	37	-1	NONE	1708	1713
T32	ENT 1820 1825	Mamma	37	3	Mrs. Bennet	1820	1825
T33	ENT 1942 1951	Elizabeth	37	0	Elizabeth	1942	1951
T34	ENT 2053 2061	Brighton	37	-1	NONE	2053	2061
T35	ENT 2087 2095	soldiers	37	27	OTHER	2087	2095
T36	ENT 2139 2147	one poor	37	-1	NONE	2139	2147
T37	ENT 2148 2167	regiment of militia	37	-1	NONE	2148	2167
T38	ENT 2195 2202	Meryton	37	-1	NONE	2195	2202
T39	ENT 2254 2259	Lydia	37	5	Lydia	2254	2259
T40	ENT 2363 2379	a certain person	37	7	Wickham	2363	2379
T41	ENT 2397 2401	Jane	37	2	Jane	2397	2401
T42	ENT 2406 2415	Elizabeth	37	0	Elizabeth	2406	2415
T43	ENT 2443 2453	the waiter	37	27	OTHER	2443	2453
T44	ENT 2463 2465	he	37	27	OTHER	2463	2465
T45	ENT 2482 2487	Lydia	37	5	Lydia	2482	2487
T46	ENT 2580 2590	the waiter	37	27	OTHER	2580	2590
T47	ENT 2613 2615	he	37	27	OTHER	2613	2615
T48	ENT 2635 2637	he	37	27	OTHER	2635	2637
T49	ENT 2697 2699	he	37	27	OTHER	2697	2699
T50	ENT 2703 2717	an ugly fellow	37	27	OTHER	2703	2717
T51	ENT 2730 2732	he	37	27	OTHER	2730	2732
T52	ENT 2826 2838	dear Wickham	37	7	Wickham	2826	2838
T53	ENT 2854 2864	the waiter	37	27	OTHER	2854	2864
T54	ENT 2901 2908	Wickham	37	7	Wickham	2901	2908
T55	ENT 2901 2911	Wickham 's	37	7	Wickham	2901	2911
T56	ENT 2921 2930	Mary King	37	27	OTHER	2921	2930
T57	ENT 2952 2955	She	37	27	OTHER	2952	2955
T58	ENT 2972 2975	her	37	27	OTHER	2972	2975
T59	ENT 2972 2981	her uncle	37	27	OTHER	2972	2981
T60	ENT 2985 2994	Liverpool	37	-1	NONE	2985	2994
T61	ENT 3012 3019	Wickham	37	7	Wickham	3012	3019
T62	ENT 3040 3049	Mary King	37	27	OTHER	3040	3049
T63	ENT 3069 3078	Elizabeth	37	0	Elizabeth	3069	3078
T64	ENT 3139 3142	She	37	27	OTHER	3139	3142
T65	ENT 3146 3158	a great fool	37	27	OTHER	3146	3158
T66	ENT 3179 3182	she	37	27	OTHER	3179	3182
T67	ENT 3189 3192	him	37	7	Wickham	3189	3192
T68	ENT 3267 3271	Jane	37	2	Jane	3267	3271
T69	ENT 3305 3308	his	37	7	Wickham	3305	3308
T70	ENT 3336 3338	he	37	7	Wickham	3336	3338
T71	ENT 3370 3373	her	37	27	OTHER	3370	3373
T72	ENT 3397 3431	such a nasty little freckled thing	37	27	OTHER	3397	3431
T73	ENT 3437 3446	Elizabeth	37	0	Elizabeth	3437	3446
T74	ENT 3530 3537	herself	37	0	Elizabeth	3530	3537
T75	ENT 3598 3601	her	37	0	Elizabeth	3598	3601
T76	ENT 3678 3692	the elder ones	37	29	JaneElizabeth	3678	3692
T77	ENT 3700 3712	the carriage	37	-1	NONE	3700	3712
T78	ENT 3756 3771	the whole party	37	24	Bennets	3756	3771
T79	ENT 3853 3858	Kitty	37	18	Kitty	3853	3858
T80	ENT 3866 3871	Lydia	37	5	Lydia	3866	3871
T81	ENT 3954 3959	Lydia	37	5	Lydia	3954	3959
T82	ENT 4032 4047	another bandbox	37	-1	NONE	4032	4047
T83	ENT 4131 4135	home	37	-1	NONE	4131	4135
T84	ENT 4240 4256	any pleasant men	37	27	OTHER	4240	4256
T85	ENT 4339 4348	a husband	37	27	OTHER	4339	4348
T86	ENT 4372 4376	Jane	37	2	Jane	4372	4376
T87	ENT 4391 4402	an old maid	37	2	Jane	4391	4402
T88	ENT 4422 4425	She	37	2	Jane	4422	4425
T89	ENT 4533 4549	My aunt Phillips	37	27	OTHER	4533	4549
T90	ENT 4541 4549	Phillips	37	27	OTHER	4541	4549
T91	ENT 4570 4578	husbands	37	31	collective	4570	4578
T92	ENT 4600 4603	She	37	27	OTHER	4600	4603
T93	ENT 4609 4614	Lizzy	37	0	Elizabeth	4609	4614
T94	ENT 4637 4648	Mr. Collins	37	20	Mr. Collins	4637	4648
T95	ENT 4889 4904	Colonel Forster	37	33	Colonel Forster	4889	4904
T96	ENT 4889 4907	Colonel Forster 's	37	33	Colonel Forster	4889	4907
T97	ENT 4910 4915	Kitty	37	18	Kitty	4910	4915
T98	ENT 4945 4950	there	37	18	Kitty	4945	4950
T99	ENT 4957 4969	Mrs. Forster	37	23	Mrs. Forster	4957	4969
T100	ENT 5038 5050	Mrs. Forster	37	23	Mrs. Forster	5038	5050
T101	ENT 5094 5097	she	37	23	Mrs. Forster	5094	5097
T102	ENT 5104 5123	the two Harringtons	37	27	OTHER	5104	5123
T103	ENT 5138 5145	Harriet	37	27	OTHER	5138	5145
T104	ENT 5163 5166	Pen	37	27	OTHER	5163	5166
T105	ENT 5189 5196	herself	37	27	OTHER	5189	5196
T106	ENT 5237 5239	We	37	31	collective	5237	5239
T107	ENT 5251 5263	Chamberlayne	37	27	OTHER	5251	5263
T108	ENT 5267 5272	woman	37	27	OTHER	5267	5272
T109	ENT 5307 5313	a lady	37	27	OTHER	5307	5313
