ent	loc	string	filenum	id	ent_name	start	end
T0	ENT 31 40	Elizabeth	36	0	Elizabeth	31	40
T1	ENT 45 56	Mr. Collins	36	20	Mr. Collins	45	56
T2	ENT 96 106	the others	36	31	collective	96	106
T3	ENT 122 124	he	36	20	Mr. Collins	122	124
T4	ENT 185 187	he	36	20	Mr. Collins	185	187
T5	ENT 237 251	Miss Elizabeth	36	0	Elizabeth	237	251
T6	ENT 262 264	he	36	20	Mr. Collins	262	264
T7	ENT 278 290	Mrs. Collins	36	9	Charlotte	278	290
T8	ENT 309 312	her	36	9	Charlotte	309	312
T9	ENT 395 404	the house	36	-1	NONE	395	404
T10	ENT 423 426	her	36	9	Charlotte	423	426
T11	ENT 457 469	your company	36	0	Elizabeth	457	469
T12	ENT 506 508	We	36	31	collective	506	508
T13	ENT 543 549	anyone	36	-1	NONE	543	549
T14	ENT 553 569	our humble abode	36	-1	NONE	553	569
T15	ENT 601 634	our small rooms and few domestics	36	-1	NONE	601	634
T16	ENT 662 671	the world	36	-1	NONE	662	671
T17	ENT 684 692	Hunsford	36	-1	NONE	684	692
T18	ENT 711 737	a young lady like yourself	36	0	Elizabeth	711	737
T19	ENT 903 912	Elizabeth	36	0	Elizabeth	903	912
T20	ENT 928 931	her	36	0	Elizabeth	928	931
T21	ENT 969 972	She	36	0	Elizabeth	969	972
T22	ENT 1047 1056	Charlotte	36	9	Charlotte	1047	1056
T23	ENT 1083 1086	she	36	0	Elizabeth	1083	1086
T24	ENT 1114 1117	her	36	0	Elizabeth	1114	1117
T25	ENT 1139 1150	Mr. Collins	36	20	Mr. Collins	1139	1150
T26	ENT 1299 1301	We	36	31	collective	1299	1301
T27	ENT 1397 1418	very superior society	36	17	Lady Catherine	1397	1418
T28	ENT 1452 1459	Rosings	36	-1	NONE	1452	1459
T29	ENT 1539 1548	ourselves	36	31	collective	1539	1548
T30	ENT 1640 1654	Lady Catherine	36	17	Lady Catherine	1640	1654
T31	ENT 1640 1664	Lady Catherine 's family	36	31	collective	1640	1664
T32	ENT 1820 1825	there	36	-1	NONE	1820	1825
T33	ENT 1893 1914	this humble parsonage	36	-1	NONE	1893	1914
T34	ENT 1954 1956	it	36	-1	NONE	1954	1956
T35	ENT 2025 2032	Rosings	36	-1	NONE	2025	2032
T36	ENT 2083 2086	his	36	20	Mr. Collins	2083	2086
T37	ENT 2102 2104	he	36	20	Mr. Collins	2102	2104
T38	ENT 2131 2139	the room	36	-1	NONE	2131	2139
T39	ENT 2148 2157	Elizabeth	36	0	Elizabeth	2148	2157
T40	ENT 2284 2297	Hertfordshire	36	0	Elizabeth	2284	2297
T41	ENT 2300 2314	my dear cousin	36	0	Elizabeth	2300	2314
T42	ENT 2376 2390	Lady Catherine	36	17	Lady Catherine	2376	2390
T43	ENT 2414 2426	Mrs. Collins	36	9	Charlotte	2414	2426
T44	ENT 2509 2520	your friend	36	9	Charlotte	2509	2520
T45	ENT 2634 2648	Miss Elizabeth	36	0	Elizabeth	2634	2648
T46	ENT 2729 2736	My dear	36	9	Charlotte	2729	2736
T47	ENT 2737 2746	Charlotte	36	9	Charlotte	2737	2746
T48	ENT 2886 2888	We	36	31	collective	2886	2888
T49	ENT 2936 2945	Elizabeth	36	0	Elizabeth	2936	2945
T50	ENT 3061 3064	she	36	0	Elizabeth	3061	3064
T51	ENT 3097 3100	his	36	20	Mr. Collins	3097	3100
T52	ENT 3121 3124	She	36	0	Elizabeth	3121	3124
T53	ENT 3174 3178	them	36	-1	NONE	3174	3178
T54	ENT 3194 3224	the lady from whom they sprang	36	9	Charlotte	3194	3224
T55	ENT 3227 3241	Poor Charlotte	36	9	Charlotte	3227	3241
T56	ENT 3271 3274	her	36	9	Charlotte	3271	3274
T57	ENT 3297 3300	she	36	9	Charlotte	3297	3300
T58	ENT 3312 3314	it	36	20	Mr. Collins	3312	3314
T59	ENT 3320 3323	her	36	9	Charlotte	3320	3323
T60	ENT 3373 3376	her	36	9	Charlotte	3373	3376
T61	ENT 3373 3385	her visitors	36	31	collective	3373	3385
T62	ENT 3399 3402	she	36	9	Charlotte	3399	3402
T63	ENT 3440 3443	Her	36	9	Charlotte	3440	3443
T64	ENT 3440 3448	Her home	36	-1	NONE	3440	3448
T65	ENT 3453 3456	her	36	9	Charlotte	3453	3456
T66	ENT 3453 3469	her housekeeping	36	-1	NONE	3453	3469
T67	ENT 3472 3475	her	36	9	Charlotte	3472	3475
T68	ENT 3472 3482	her parish	36	-1	NONE	3472	3482
T69	ENT 3487 3490	her	36	9	Charlotte	3487	3490
T70	ENT 3578 3588	the chaise	36	-1	NONE	3578	3588
T71	ENT 3731 3742	the friends	36	31	collective	3731	3742
T72	ENT 3745 3754	Elizabeth	36	0	Elizabeth	3745	3754
T73	ENT 3771 3783	the carriage	36	-1	NONE	3771	3783
T74	ENT 3787 3798	Mr. Collins	36	20	Mr. Collins	3787	3798
T75	ENT 3825 3835	the garden	36	-1	NONE	3825	3835
T76	ENT 3836 3838	he	36	20	Mr. Collins	3836	3838
T77	ENT 3857 3860	her	36	0	Elizabeth	3857	3860
T78	ENT 3866 3869	his	36	20	Mr. Collins	3866	3869
T79	ENT 3891 3894	her	36	0	Elizabeth	3891	3894
T80	ENT 3891 3901	her family	36	24	Bennets	3891	3901
T81	ENT 3919 3922	his	36	20	Mr. Collins	3919	3922
T82	ENT 3947 3949	he	36	20	Mr. Collins	3947	3949
T83	ENT 3996 3999	his	36	20	Mr. Collins	3996	3999
T84	ENT 4023 4036	Mrs. Gardiner	36	11	Mrs. Gardiner	4023	4036
T85	ENT 4056 4058	He	36	20	Mr. Collins	4056	4058
T86	ENT 4071 4074	her	36	0	Elizabeth	4071	4074
T87	ENT 4080 4085	Maria	36	15	Maria Lucas	4080	4085
T88	ENT 4150 4152	he	36	20	Mr. Collins	4150	4152
T89	ENT 4171 4175	them	36	31	collective	4171	4175
T90	ENT 4262 4283	the ladies at Rosings	36	31	collective	4262	4283
T91	ENT 4276 4283	Rosings	36	-1	NONE	4276	4283
T92	ENT 4298 4300	he	36	20	Mr. Collins	4298	4300
T93	ENT 4378 4382	them	36	31	collective	4378	4382
T94	ENT 4457 4461	here	36	-1	NONE	4457	4461
T95	ENT 4467 4476	Elizabeth	36	0	Elizabeth	4467	4476
T96	ENT 4540 4552	the carriage	36	-1	NONE	4540	4552
T97	ENT 4593 4598	Maria	36	15	Maria Lucas	4593	4598
T98	ENT 4760 4763	her	36	15	Maria Lucas	4760	4763
T99	ENT 4760 4773	her companion	36	0	Elizabeth	4760	4773
T100	ENT 4791 4793	We	36	31	collective	4791	4793
T101	ENT 4819 4826	Rosings	36	-1	NONE	4819	4826
T102	ENT 4850 4855	there	36	-1	NONE	4850	4855
T103	ENT 4899 4908	Elizabeth	36	0	Elizabeth	4899	4908
T104	ENT 4972 4977	Their	36	31	collective	4972	4977
T105	ENT 5082 5090	Hunsford	36	-1	NONE	5082	5090
T106	ENT 5104 5116	Mr. Gardiner	36	10	Gardiner	5104	5116
T107	ENT 5104 5153	Mr. Gardiner 's house , where they were to remain	36	-1	NONE	5104	5153
T108	ENT 5167 5171	Jane	36	2	Jane	5167	5171
T109	ENT 5190 5199	Elizabeth	36	0	Elizabeth	5190	5199
T110	ENT 5235 5238	her	36	2	Jane	5235	5238
T111	ENT 5302 5305	her	36	0	Elizabeth	5302	5305
T112	ENT 5302 5310	her aunt	36	11	Mrs. Gardiner	5302	5310
T113	ENT 5328 5332	them	36	31	collective	5328	5332
T114	ENT 5339 5343	Jane	36	2	Jane	5339	5343
T115	ENT 5354 5358	home	36	-1	NONE	5354	5358
T116	ENT 5364 5367	her	36	0	Elizabeth	5364	5367
T117	ENT 5377 5386	Longbourn	36	-1	NONE	5377	5386
T118	ENT 5483 5486	she	36	0	Elizabeth	5483	5486
T119	ENT 5507 5516	Longbourn	36	-1	NONE	5507	5516
T120	ENT 5526 5529	she	36	0	Elizabeth	5526	5529
T121	ENT 5535 5538	her	36	0	Elizabeth	5535	5538
T122	ENT 5535 5545	her sister	36	2	Jane	5535	5545
T123	ENT 5549 5558	Mr. Darcy	36	1	Darcy	5549	5558
T124	ENT 5587 5590	she	36	0	Elizabeth	5587	5590
T125	ENT 5653 5657	Jane	36	2	Jane	5653	5657
T126	ENT 5720 5723	her	36	0	Elizabeth	5720	5723
T127	ENT 5735 5738	she	36	0	Elizabeth	5735	5738
T128	ENT 5881 5884	she	36	0	Elizabeth	5881	5884
T129	ENT 5919 5922	she	36	0	Elizabeth	5919	5922
T130	ENT 5948 5951	her	36	0	Elizabeth	5948	5951
T131	ENT 5962 5965	she	36	0	Elizabeth	5962	5965
T132	ENT 6041 6048	Bingley	36	6	Bingley	6041	6048
T133	ENT 6073 6076	her	36	0	Elizabeth	6073	6076
T134	ENT 6073 6083	her sister	36	2	Jane	6073	6083
