ent	loc	string	filenum	id	ent_name	start	end
T0	ENT 25 28	her	59	3	Mrs. Bennet	25	28
T1	ENT 68 79	Mrs. Bennet	59	3	Mrs. Bennet	68	79
T2	ENT 91 94	her	59	3	Mrs. Bennet	91	94
T3	ENT 91 123	her two most deserving daughters	59	29	JaneElizabeth	91	123
T4	ENT 152 155	she	59	3	Mrs. Bennet	152	155
T5	ENT 175 187	Mrs. Bingley	59	2	Jane	175	187
T6	ENT 204 214	Mrs. Darcy	59	0	Elizabeth	204	214
T7	ENT 271 274	her	59	3	Mrs. Bennet	271	274
T8	ENT 271 281	her family	59	24	Bennets	271	281
T9	ENT 311 314	her	59	3	Mrs. Bennet	311	314
T10	ENT 365 368	her	59	3	Mrs. Bennet	365	368
T11	ENT 365 377	her children	59	24	Bennets	365	377
T12	ENT 417 420	her	59	3	Mrs. Bennet	417	420
T13	ENT 421 463	a sensible , amiable , well-informed woman	59	3	Mrs. Bennet	421	463
T14	ENT 480 483	her	59	3	Mrs. Bennet	480	483
T15	ENT 523 526	her	59	3	Mrs. Bennet	523	526
T16	ENT 523 534	her husband	59	4	Mr. Bennet	523	534
T17	ENT 611 614	she	59	3	Mrs. Bennet	611	614
T18	ENT 669 679	Mr. Bennet	59	4	Mr. Bennet	669	679
T19	ENT 687 690	his	59	4	Mr. Bennet	687	690
T20	ENT 687 706	his second daughter	59	0	Elizabeth	687	706
T21	ENT 721 724	his	59	4	Mr. Bennet	721	724
T22	ENT 739 742	her	59	0	Elizabeth	739	742
T23	ENT 748 751	him	59	4	Mr. Bennet	748	751
T24	ENT 765 769	home	59	-1	NONE	765	769
T25	ENT 800 802	He	59	4	Mr. Bennet	800	802
T26	ENT 825 834	Pemberley	59	-1	NONE	825	834
T27	ENT 853 855	he	59	4	Mr. Bennet	853	855
T28	ENT 877 888	Mr. Bingley	59	6	Bingley	877	888
T29	ENT 893 897	Jane	59	2	Jane	893	897
T30	ENT 910 921	Netherfield	59	-1	NONE	910	921
T31	ENT 965 968	her	59	2	Jane	965	968
T32	ENT 965 975	her mother	59	3	Mrs. Bennet	965	975
T33	ENT 980 987	Meryton	59	-1	NONE	980	987
T34	ENT 980 997	Meryton relations	59	27	OTHER	980	997
T35	ENT 1026 1029	his	59	6	Bingley	1026	1029
T36	ENT 1051 1054	her	59	2	Jane	1051	1054
T37	ENT 1098 1101	his	59	6	Bingley	1098	1101
T38	ENT 1098 1109	his sisters	59	31	collective	1098	1109
T39	ENT 1131 1133	he	59	6	Bingley	1131	1133
T40	ENT 1141 1150	an estate	59	-1	NONE	1141	1150
T41	ENT 1154 1175	a neighbouring county	59	-1	NONE	1154	1175
T42	ENT 1151 1189	in a neighbouring county to Derbyshire	59	-1	NONE	1151	1189
T43	ENT 1179 1189	Derbyshire	59	-1	NONE	1179	1189
T44	ENT 1196 1200	Jane	59	2	Jane	1196	1200
T45	ENT 1205 1214	Elizabeth	59	0	Elizabeth	1205	1214
T46	ENT 1307 1312	Kitty	59	18	Kitty	1307	1312
T47	ENT 1318 1321	her	59	18	Kitty	1318	1321
T48	ENT 1367 1370	her	59	18	Kitty	1367	1370
T49	ENT 1381 1384	her	59	18	Kitty	1381	1384
T50	ENT 1381 1402	her two elder sisters	59	29	JaneElizabeth	1381	1402
T51	ENT 1436 1439	she	59	18	Kitty	1436	1439
T52	ENT 1462 1465	her	59	18	Kitty	1462	1465
T53	ENT 1490 1493	She	59	18	Kitty	1490	1493
T54	ENT 1533 1538	Lydia	59	5	Lydia	1533	1538
T55	ENT 1577 1582	Lydia	59	5	Lydia	1577	1582
T56	ENT 1596 1599	she	59	18	Kitty	1596	1599
T57	ENT 1731 1736	Lydia	59	5	Lydia	1731	1736
T58	ENT 1748 1751	she	59	18	Kitty	1748	1751
T59	ENT 1794 1806	Mrs. Wickham	59	5	Lydia	1794	1806
T60	ENT 1826 1829	her	59	18	Kitty	1826	1829
T61	ENT 1852 1855	her	59	5	Lydia	1852	1855
T62	ENT 1888 1897	young men	59	27	OTHER	1888	1897
T63	ENT 1900 1903	her	59	18	Kitty	1900	1903
T64	ENT 1900 1910	her father	59	4	Mr. Bennet	1900	1910
T65	ENT 1934 1937	her	59	18	Kitty	1934	1937
T66	ENT 1946 1950	Mary	59	19	Mary	1946	1950
T67	ENT 1955 1972	the only daughter	59	19	Mary	1955	1972
T68	ENT 1989 1993	home	59	-1	NONE	1989	1993
T69	ENT 2000 2003	she	59	19	Mary	2000	2003
T70	ENT 2065 2079	Mrs. Bennet 's	59	3	Mrs. Bennet	2065	2079
T71	ENT 2114 2118	Mary	59	19	Mary	2114	2118
T72	ENT 2148 2157	the world	59	7	Wickham	2148	2157
T73	ENT 2164 2167	she	59	19	Mary	2164	2167
T74	ENT 2223 2226	she	59	19	Mary	2223	2226
T75	ENT 2274 2277	her	59	19	Mary	2274	2277
T76	ENT 2274 2285	her sisters	59	24	Bennets	2274	2285
T77	ENT 2299 2302	her	59	19	Mary	2299	2302
T78	ENT 2329 2332	her	59	19	Mary	2329	2332
T79	ENT 2329 2339	her father	59	4	Mr. Bennet	2329	2339
T80	ENT 2345 2348	she	59	19	Mary	2345	2348
T81	ENT 2406 2413	Wickham	59	7	Wickham	2406	2413
T82	ENT 2418 2423	Lydia	59	5	Lydia	2418	2423
T83	ENT 2487 2490	her	59	5	Lydia	2487	2490
T84	ENT 2487 2498	her sisters	59	24	Bennets	2487	2498
T85	ENT 2501 2503	He	59	7	Wickham	2501	2503
T86	ENT 2545 2554	Elizabeth	59	0	Elizabeth	2545	2554
T87	ENT 2599 2602	his	59	7	Wickham	2599	2602
T88	ENT 2656 2659	her	59	0	Elizabeth	2656	2659
T89	ENT 2725 2730	Darcy	59	1	Darcy	2725	2730
T90	ENT 2765 2768	his	59	7	Wickham	2765	2768
T91	ENT 2811 2820	Elizabeth	59	0	Elizabeth	2811	2820
T92	ENT 2835 2840	Lydia	59	5	Lydia	2835	2840
T93	ENT 2844 2847	her	59	0	Elizabeth	2844	2847
T94	ENT 2872 2875	her	59	0	Elizabeth	2872	2875
T95	ENT 2886 2889	his	59	7	Wickham	2886	2889
T96	ENT 2886 2894	his wife	59	5	Lydia	2886	2894
T97	ENT 2916 2923	himself	59	7	Wickham	2916	2923
T98	ENT 2989 2996	My dear	59	0	Elizabeth	2989	2996
T99	ENT 2997 3002	Lizzy	59	0	Elizabeth	2997	3002
T100	ENT 3037 3046	Mr. Darcy	59	1	Darcy	3037	3046
T101	ENT 3076 3083	Wickham	59	7	Wickham	3076	3083
T102	ENT 3234 3241	Wickham	59	7	Wickham	3234	3241
T103	ENT 3264 3269	court	59	-1	NONE	3264	3269
T104	ENT 3458 3467	Mr. Darcy	59	1	Darcy	3458	3467
T105	ENT 3542 3551	Elizabeth	59	0	Elizabeth	3542	3551
T106	ENT 3574 3577	she	59	0	Elizabeth	3574	3577
T107	ENT 3593 3596	her	59	0	Elizabeth	3593	3596
T108	ENT 3703 3706	her	59	0	Elizabeth	3703	3706
T109	ENT 3776 3779	her	59	0	Elizabeth	3776	3779
T110	ENT 3803 3806	she	59	0	Elizabeth	3803	3806
T111	ENT 3860 3863	her	59	0	Elizabeth	3860	3863
T112	ENT 3919 3930	two persons	59	31	collective	3919	3930
T113	ENT 4063 4077	their quarters	59	31	collective	4063	4077
T114	ENT 4087 4091	Jane	59	2	Jane	4087	4091
T115	ENT 4095 4102	herself	59	0	Elizabeth	4095	4102
T116	ENT 4194 4199	Their	59	31	collective	4194	4199
T117	ENT 4264 4268	them	59	31	collective	4264	4268
T118	ENT 4272 4278	a home	59	-1	NONE	4272	4278
T119	ENT 4431 4434	His	59	7	Wickham	4431	4434
T120	ENT 4449 4452	her	59	5	Lydia	4449	4452
T121	ENT 4529 4532	her	59	5	Lydia	4529	4532
T122	ENT 4543 4546	her	59	5	Lydia	4543	4546
T123	ENT 4557 4560	she	59	5	Lydia	4557	4560
T124	ENT 4605 4608	her	59	5	Lydia	4605	4608
T125	ENT 4628 4631	her	59	5	Lydia	4628	4631
T126	ENT 4641 4646	Darcy	59	1	Darcy	4641	4646
T127	ENT 4669 4672	him	59	7	Wickham	4669	4672
T128	ENT 4678 4687	Pemberley	59	-1	NONE	4678	4687
T129	ENT 4700 4709	Elizabeth	59	0	Elizabeth	4700	4709
T130	ENT 4720 4722	he	59	1	Darcy	4720	4722
T131	ENT 4732 4735	him	59	7	Wickham	4732	4735
T132	ENT 4747 4750	his	59	7	Wickham	4747	4750
T133	ENT 4764 4769	Lydia	59	5	Lydia	4764	4769
T134	ENT 4787 4796	a visitor	59	5	Lydia	4787	4796
T135	ENT 4797 4802	there	59	-1	NONE	4797	4802
T136	ENT 4810 4813	her	59	5	Lydia	4810	4813
T137	ENT 4810 4821	her husband	59	7	Wickham	4810	4821
T138	ENT 4840 4847	himself	59	7	Wickham	4840	4847
T139	ENT 4851 4857	London	59	-1	NONE	4851	4857
T140	ENT 4861 4865	Bath	59	-1	NONE	4861	4865
T141	ENT 4877 4889	the Bingleys	59	31	collective	4877	4889
T142	ENT 4903 4907	them	59	31	collective	4903	4907
T143	ENT 4945 4952	Bingley	59	6	Bingley	4945	4952
T144	ENT 4987 4989	he	59	31	collective	4987	4989
T145	ENT 5032 5036	them	59	31	collective	5032	5036
T146	ENT 5057 5069	Miss Bingley	59	8	Miss Bingley	5057	5069
T147	ENT 5099 5104	Darcy	59	1	Darcy	5099	5104
T148	ENT 5126 5129	she	59	8	Miss Bingley	5126	5129
T149	ENT 5186 5195	Pemberley	59	-1	NONE	5186	5195
